Nahuatl|Spanish|Verse
Nonequi nochipa nenquinyecnotzasquej niman nemotlajtol ma yemanqui para cuelcaquisquej. Niman no nonequi nenquimatisquej quen ijqui nenquinnanquilisquej cada se.|Vuestra palabra sea siempre agradable, sazonada con sal, para que sepáis cómo os conviene responder a cada uno|b.COL.4.6
Dios techita, niman para yejhua tinemij quen iajhuiyalis Cristo pampa totechcopa panohua nochihuiyan on temachtijli ica Cristo para on yejhuan nomaquixtiaj niman para on yejhuan xnomaquixtiaj.|Porque para Dios somos olor fragante de Cristo en los que se salvan y en los que se pierden|b.2CO.2.15
Pilato omojcatlachix ica yomic Jesús. Yejhua ica oquititlan se tlacatl para ma cuajhuica on capitán. Ijcuac on capitán ohuajlaj, Pilato oquitlajtoltij tla melahuac yomic Jesús.|Pilato se sorprendió de que ya hubiese muerto. Y llamando al centurión, le preguntó si ya había muerto|b.MAR.15.44
Ijcuac cuicaticatcaj Jesús para conmajmasohualtisquej ipan cojnepanojli, oquinahuatijquej se tlacatl itoca Simón yejhuan chanejquetl catca ne Cirene. Yejhua ohualeu imijla. Oquichihualtijquej ma quimama on cojnepanojli ne icuitlapan Jesús.|Y ellos, al llevarle, tomaron a un tal Simón de Cirene, que venía del campo, y le pusieron encima la cruz para que la llevase tras Jesús|b.LUK.23.26
Pero yejcos on tonajli ijcuac nejhua yejhuan quen nimontli nechquixtisquej intech on notenotzcahuan. Niman ijcuacon quemaj yejhuamej nosahuasquej.|Pero vendrán días cuando el novio les será quitado. Entonces, en aquel día ayunarán|b.MAR.2.20
Noborregos nechtencaquij, niman nejhua niquimixmati niman nechcuitlapanhuiaj.|Mis ovejas oyen mi voz, y yo las conozco, y me siguen|b.JOH.10.27
On omemej tlajtlajtojtiayaj nochi yejhua ica on tlen yonochijca.|Iban hablando entre sí de todas aquellas cosas que habían acontecido|b.LUK.24.14
Ijcuacon Jesús onoteltij, niman oquijtoj: ―Xquijlican ma huajla nican. Quemaj oquinotzatoj, niman oquijlijquej: ―Xmoyolchicahua. Xmotelquetza. Yejhua mitznotza.|Entonces Jesús se detuvo y mandó llamarle. Llamaron al ciego diciéndole: --Ten confianza. Levántate. Él te llama|b.MAR.10.49
Ijcuacon on más hueyi tlayecanquetl intech on tiopixquej sanoyej ocualan niman onotlaquencocotontiaj, niman oquijtoj: ―Yejhua in tlacatl yocuijhuicaltij Dios ican itlajtol. Tej, ¿tlinon para tiquinnequij más teixpantiliquej? Nemejhuamej yonencaquej quen yocuijhuicaltij Dios.|Entonces el sumo sacerdote rasgó su vestidura diciendo: --¡Ha blasfemado! ¿Qué más necesidad tenemos de testigos? He aquí, ahora mismo, vosotros habéis oído la blasfemia|b.MAT.26.65
Quemaj Jesús ocsejpa oquimijlij: ―Xyolsejtiacan nemejhuamej. Ijcon quen noTajtzin onechajtitlan, no ijqui nemechtitlani.|"Entonces Jesús les dijo otra vez: ""¡Paz a vosotros! Como me ha enviado el Padre, así también yo os envío a vosotros."|b.JOH.20.21
Más cuajli para nemejhuamej ica xompa ninemiya ijcuac Lázaro cualohuaya, pampa aman huelis nicchihuas itlaj yejhuan mechpalehuis nentlaneltocasquej. Yejhua ica nipaqui. Ma tihuian, ma tiquitatij.|y a causa de vosotros me alegro de que yo no haya estado allá, para que creáis. Pero vayamos a él|b.JOH.11.15
Dios quimatiya aquinomej quineltocasquej Cristo. Yejhuamej oquintlalij para nemisquej quen Cristo on iConetzin para yejhua yacatztias intzajlan miyequej icnihuan.|Sabemos que a los que antes conoció, también los predestinó para que fuesen hechos conformes a la imagen de su Hijo; a fin de que él sea el primogénito entre muchos hermanos|b.ROM.8.29
Sa no ipan on hora, yejhuamej ocajsiquej inmojhui para Jerusalén campa oquinnextitoj on majtlactli huan se apóstoles niman on intehuicalhuan san secan nemiyaj.|En la misma hora se levantaron y se volvieron a Jerusalén. Hallaron reunidos a los once y a los que estaban con ellos|b.LUK.24.33
